FOTO;VELOCIDAD;FECHA;HORA;LOTE;DOMINO;FOTOSIVSA;Carril
37267535;125.4;11/07/2024;11:13:44;11/07/202418/07/;ac096qm;3720675353;2
37267540;085.0;11/07/2024;11:50:37;11/07/202418/07/;dyd018;3720675403;2
37267542;098.1;11/07/2024;12:01:33;11/07/202418/07/;giu013;3720675423;2
37267543;098.4;11/07/2024;12:03:17;11/07/202418/07/;ids785;3720675433;2
37267545;103.0;11/07/2024;12:12:04;11/07/202418/07/;olx253;3720675453;2
37267547;097.6;11/07/2024;12:38:43;11/07/202418/07/;ag074mc;3720675473;2
37267550;088.9;11/07/2024;12:58:44;11/07/202418/07/;hhc941;3720675503;2
37267551;086.3;11/07/2024;13:07:11;11/07/202418/07/;aa671wk;3720675513;2
37267552;094.9;11/07/2024;13:08:41;11/07/202418/07/;ae971ma;3720675522;2
37267554;118.9;11/07/2024;13:17:27;11/07/202418/07/;ae276ej;3720675542;2
37267559;083.4;11/07/2024;14:01:33;11/07/202418/07/;lvg510;3720675593;2
37267571;099.6;11/07/2024;15:24:31;11/07/202418/07/;ac153zd;3720675713;2
37267583;110.1;11/07/2024;15:57:27;11/07/202418/07/;ac091jm;3720675831;2
37267585;107.0;11/07/2024;15:58:36;11/07/202418/07/;ab951ah;3720675853;2
37267586;093.3;11/07/2024;16:05:48;11/07/202418/07/;af110yl;3720675863;2
37267589;100.1;11/07/2024;16:26:55;11/07/202418/07/;myx970;3720675892;2
37267599;099.7;11/07/2024;17:09:23;11/07/202418/07/;pnl979;3720675992;2
37267600;087.9;11/07/2024;17:30:47;11/07/202418/07/;ac657yc;3720676002;2
37267605;092.4;11/07/2024;17:48:31;11/07/202418/07/;ae557jn;3720676052;2
37267606;083.8;11/07/2024;17:49:41;11/07/202418/07/;dsc148;3720676063;2
37267608;124.8;11/07/2024;17:55:43;11/07/202418/07/;ae546sw;3720676083;2
37267611;101.1;12/07/2024;08:14:17;11/07/202418/07/;jom113;3720676112;2
37267612;091.3;12/07/2024;08:30:00;11/07/202418/07/;ag490hh;3720676123;2
37267613;087.5;12/07/2024;08:39:22;11/07/202418/07/;ag230od;3720676133;2
37267614;091.8;12/07/2024;08:43:32;11/07/202418/07/;ad198bf;3720676143;2
37267618;113.3;12/07/2024;08:58:59;11/07/202418/07/;aa433la;3720676183;2
37267621;095.4;12/07/2024;09:01:15;11/07/202418/07/;bam093;3720676212;2
37267625;105.2;12/07/2024;09:23:53;11/07/202418/07/;ac320oi;3720676253;2
37267628;092.6;12/07/2024;09:33:19;11/07/202418/07/;kln612;3720676283;2
37267629;100.4;12/07/2024;09:34:10;11/07/202418/07/;ac403qm;3720676293;2
37267634;097.8;12/07/2024;09:45:26;11/07/202418/07/;ae180mc;3720676342;2
37267635;085.1;12/07/2024;09:57:12;11/07/202418/07/;ae180mc;3720676351;2
37267636;091.6;12/07/2024;09:57:14;11/07/202418/07/;af579eu;3720676361;2
37267637;086.7;12/07/2024;10:01:28;11/07/202418/07/;af627qx;3720676371;2
37267640;089.4;12/07/2024;10:12:16;11/07/202418/07/;ae154pm;3720676403;2
37267643;095.3;12/07/2024;10:22:21;11/07/202418/07/;hiq742;3720676432;2
37267644;096.7;12/07/2024;10:25:57;11/07/202418/07/;ae993lf;3720676443;2
37267645;086.1;12/07/2024;10:32:17;11/07/202418/07/;qhi829;3720676453;2
37267647;101.6;12/07/2024;10:41:01;11/07/202418/07/;af349wi;3720676473;2
37267649;107.2;12/07/2024;10:47:22;11/07/202418/07/;ad398kh;3720676493;2
37267650;094.5;12/07/2024;10:50:16;11/07/202418/07/;af000hi;3720676503;2
37267651;108.2;12/07/2024;10:50:19;11/07/202418/07/;af767dd;3720676513;2
37267653;083.7;12/07/2024;10:53:03;11/07/202418/07/;jsv530;3720676533;2
37267654;100.4;12/07/2024;11:00:56;11/07/202418/07/;aa507ey;3720676541;2
37267659;083.7;12/07/2024;11:30:58;11/07/202418/07/;jlj506;3720676593;2
37267661;083.7;12/07/2024;11:39:32;11/07/202418/07/;ae883ko;3720676613;2
37267662;097.7;12/07/2024;11:40:18;11/07/202418/07/;kmy967;3720676623;2
37267664;100.3;12/07/2024;11:42:15;11/07/202418/07/;aa615qm;3720676643;2
37267671;086.7;12/07/2024;12:27:38;11/07/202418/07/;ag226xe;3720676713;2
37267673;096.2;12/07/2024;12:32:34;11/07/202418/07/;mzj874;3720676731;2
37267674;107.5;12/07/2024;12:39:50;11/07/202418/07/;ab231de;3720676742;2
37267675;112.1;12/07/2024;12:40:16;11/07/202418/07/;jwn713;3720676753;2
37267680;084.3;12/07/2024;12:57:27;11/07/202418/07/;ac591xe;3720676803;2
37267681;084.1;12/07/2024;13:03:18;11/07/202418/07/;ac412ni;3720676813;2
37267682;083.9;12/07/2024;13:24:36;11/07/202418/07/;lis480;3720676823;2
37267685;096.6;12/07/2024;13:36:50;11/07/202418/07/;af431dd;3720676853;2
37267722;132.9;12/07/2024;16:26:27;11/07/202418/07/;ad616ae;3720677222;2
37267723;105.3;12/07/2024;16:27:18;11/07/202418/07/;ab063pp;3720677233;2
37267725;097.3;12/07/2024;16:28:56;11/07/202418/07/;ag267lm;3720677253;2
37267730;091.5;12/07/2024;16:41:23;11/07/202418/07/;llv227;3720677303;2
37267732;085.1;12/07/2024;17:01:25;11/07/202418/07/;ac658hu;3720677323;2
37267733;105.2;12/07/2024;17:02:29;11/07/202418/07/;ksn496;3720677333;2
37267734;091.0;12/07/2024;17:06:50;11/07/202418/07/;ad863xf;3720677342;2
37267737;089.0;12/07/2024;17:13:15;11/07/202418/07/;ac503ph;3720677372;2
37267738;100.6;12/07/2024;17:15:33;11/07/202418/07/;ad945vt;3720677383;2
37267740;116.8;12/07/2024;17:19:41;11/07/202418/07/;af257pv;3720677403;2
37267743;101.8;12/07/2024;17:25:36;11/07/202418/07/;af898rx;3720677432;2
37267748;083.1;12/07/2024;17:31:55;11/07/202418/07/;kqa074;3720677483;2
37267752;094.7;12/07/2024;17:44:20;11/07/202418/07/;joj862;3720677523;2
37267756;113.3;12/07/2024;17:59:01;11/07/202418/07/;ab245rx;3720677563;2
37267759;105.9;13/07/2024;08:31:24;11/07/202418/07/;aa452rm;3720677593;2
37267760;104.7;13/07/2024;08:34:26;11/07/202418/07/;mus457;3720677603;2
37267761;091.8;13/07/2024;08:40:03;11/07/202418/07/;af832en;3720677613;2
37267762;083.2;13/07/2024;08:45:08;11/07/202418/07/;cnl850;3720677623;2
37267763;104.8;13/07/2024;08:49:27;11/07/202418/07/;fjw930;3720677633;2
37267764;085.4;13/07/2024;08:50:02;11/07/202418/07/;af831eo;3720677643;2
37267766;122.5;13/07/2024;08:54:43;11/07/202418/07/;ad532vp;3720677662;2
37267767;102.0;13/07/2024;08:56:41;11/07/202418/07/;mws537;3720677673;2
37267768;097.2;13/07/2024;09:01:18;11/07/202418/07/;ag572at;3720677683;2
37267769;128.6;13/07/2024;09:08:07;11/07/202418/07/;ae882jz;3720677692;2
37267770;087.2;13/07/2024;09:24:42;11/07/202418/07/;hvx495;3720677703;2
37267772;112.5;13/07/2024;09:34:38;11/07/202418/07/;aa876uf;3720677723;2
37267773;098.8;13/07/2024;09:34:43;11/07/202418/07/;kuk170;3720677733;2
37267774;116.4;13/07/2024;09:40:41;11/07/202418/07/;ag374ia;3720677743;2
37267775;097.0;13/07/2024;09:42:19;11/07/202418/07/;ede740;3720677753;2
37267776;102.9;13/07/2024;09:42:20;11/07/202418/07/;ac473ny;3720677763;2
37267777;103.9;13/07/2024;09:48:07;11/07/202418/07/;ae373xi;3720677773;2
37267778;094.5;13/07/2024;09:48:20;11/07/202418/07/;af742ev;3720677782;2
37267779;085.1;13/07/2024;09:52:52;11/07/202418/07/;aa307ma;3720677793;2
37267781;091.0;13/07/2024;09:58:39;11/07/202418/07/;nfq821;3720677813;2
37267782;095.7;13/07/2024;10:05:38;11/07/202418/07/;lvj813;3720677823;2
37267784;099.0;13/07/2024;10:10:30;11/07/202418/07/;ac885lx;3720677843;2
37267785;114.7;13/07/2024;10:25:04;11/07/202418/07/;aa730ud;3720677853;2
37267787;094.8;13/07/2024;10:39:22;11/07/202418/07/;iac876;3720677872;2
37267790;101.5;13/07/2024;10:42:53;11/07/202418/07/;ag317ug;3720677902;2
37267791;113.1;13/07/2024;10:43:56;11/07/202418/07/;ac606lb;3720677913;2
37267792;116.8;13/07/2024;10:44:25;11/07/202418/07/;ad465lq;3720677923;2
37267793;107.1;13/07/2024;10:46:16;11/07/202418/07/;ad430om;3720677932;2
37267794;113.2;13/07/2024;10:47:17;11/07/202418/07/;mwq111;3720677942;2
